a_name,b_name,count,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,CYBER_ATTACK,1268218,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,CYBER_ATTACK,1085646,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,1036510,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,WB_678_DIGITAL_GOVERNMENT,1004849,,,,,,,,,,,,,,,,,,,,
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,1002742,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,794745,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,WB_696_PUBLIC_SECTOR_MANAGEMENT,790827,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,760692,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,USPEC_POLITICS_GENERAL1,752292,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,WB_678_DIGITAL_GOVERNMENT,739210,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,GENERAL_GOVERNMENT,703312,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,696574,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,USPEC_POLICY1,694378,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,UNGP_FORESTS_RIVERS_OCEANS,677195,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,EPU_ECONOMY_HISTORIC,656209,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,LEADER,635604,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,614386,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,613089,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,WB_678_DIGITAL_GOVERNMENT,596131,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,MEDIA_MSM,581780,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,WB_840_JUSTICE,539898,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,538490,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,536726,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,GENERAL_GOVERNMENT,532074,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,530780,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,USPEC_POLICY1,525157,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,517915,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,EPU_POLICY_GOVERNMENT,514022,,,,,,,,,,,,,,,,,,,,
EPU_POLICY_GOVERNMENT,GENERAL_GOVERNMENT,512535,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,506535,,,,,,,,,,,,,,,,,,,,
LEADER,USPEC_POLITICS_GENERAL1,506371,,,,,,,,,,,,,,,,,,,,
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,495420,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,UNGP_FORESTS_RIVERS_OCEANS,490215,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,EPU_ECONOMY_HISTORIC,485789,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,483166,,,,,,,,,,,,,,,,,,,,
WB_678_DIGITAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,481571,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,WB_694_BROADCAST_AND_MEDIA,479850,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,MANMADE_DISASTER_IMPLIED,479552,,,,,,,,,,,,,,,,,,,,
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,478796,,,,,,,,,,,,,,,,,,,,
WB_678_DIGITAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,478765,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,TAX_FNCACT_HACKERS,477991,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,475659,,,,,,,,,,,,,,,,,,,,
USPEC_POLITICS_GENERAL1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,474567,,,,,,,,,,,,,,,,,,,,
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,462676,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,WB_831_GOVERNANCE,462675,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_831_GOVERNANCE,461432,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,WB_670_ICT_SECURITY,456569,,,,,,,,,,,,,,,,,,,,
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_670_ICT_SECURITY,455697,,,,,,,,,,,,,,,,,,,,
WB_670_ICT_SECURITY,WB_678_DIGITAL_GOVERNMENT,455668,,,,,,,,,,,,,,,,,,,,
ARMEDCONFLICT,CYBER_ATTACK,454184,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,UNGP_FORESTS_RIVERS_OCEANS,448753,,,,,,,,,,,,,,,,,,,,
GENERAL_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,447142,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,LEADER,446879,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,443029,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,440308,,,,,,,,,,,,,,,,,,,,
EPU_ECONOMY_HISTORIC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,438145,,,,,,,,,,,,,,,,,,,,
USPEC_POLICY1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,435464,,,,,,,,,,,,,,,,,,,,
GENERAL_GOVERNMENT,WB_678_DIGITAL_GOVERNMENT,435198,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,433000,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,WB_1014_CRIMINAL_JUSTICE,430320,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,EPU_CATS_MIGRATION_FEAR_FEAR,430212,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,WB_2433_CONFLICT_AND_VIOLENCE,430052,,,,,,,,,,,,,,,,,,,,
WB_1014_CRIMINAL_JUSTICE,WB_696_PUBLIC_SECTOR_MANAGEMENT,429218,,,,,,,,,,,,,,,,,,,,
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,428969,,,,,,,,,,,,,,,,,,,,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,428752,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,LEGISLATION,428476,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,TAX_FNCACT_PRESIDENT,424541,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,LEADER,424100,,,,,,,,,,,,,,,,,,,,
USPEC_POLICY1,WB_678_DIGITAL_GOVERNMENT,423230,,,,,,,,,,,,,,,,,,,,
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,423185,,,,,,,,,,,,,,,,,,,,
LEADER,TAX_FNCACT_PRESIDENT,423144,,,,,,,,,,,,,,,,,,,,
EPU_ECONOMY_HISTORIC,WB_678_DIGITAL_GOVERNMENT,423142,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,WB_832_ANTI_CORRUPTION,422845,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_832_ANTI_CORRUPTION,421693,,,,,,,,,,,,,,,,,,,,
WB_831_GOVERNANCE,WB_832_ANTI_CORRUPTION,421330,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_678_DIGITAL_GOVERNMENT,421325,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,EPU_ECONOMY_HISTORIC,420040,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,SECURITY_SERVICES,419660,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,KILL,415499,,,,,,,,,,,,,,,,,,,,
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,414138,,,,,,,,,,,,,,,,,,,,
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,408805,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,406917,,,,,,,,,,,,,,,,,,,,
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,399167,,,,,,,,,,,,,,,,,,,,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,397212,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,395197,,,,,,,,,,,,,,,,,,,,
LEADER,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,390733,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,EPU_POLICY_GOVERNMENT,390702,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,MEDIA_MSM,388680,,,,,,,,,,,,,,,,,,,,
GENERAL_GOVERNMENT,LEADER,386828,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,MEDIA_MSM,384932,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,EDUCATION,382259,,,,,,,,,,,,,,,,,,,,
LEADER,WB_678_DIGITAL_GOVERNMENT,381059,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,SOC_GENERALCRIME,379604,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,379260,,,,,,,,,,,,,,,,,,,,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,378747,,,,,,,,,,,,,,,,,,,,
EPU_ECONOMY_HISTORIC,USPEC_POLICY1,378431,,,,,,,,,,,,,,,,,,,,
USPEC_POLICY1,USPEC_POLITICS_GENERAL1,377478,,,,,,,,,,,,,,,,,,,,
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,376001,,,,,,,,,,,,,,,,,,,,
GENERAL_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,375430,,,,,,,,,,,,,,,,,,,,
MEDIA_MSM,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,371703,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,15857346,,,,,,,,,,,,,,,,,,,,
LEGISLATION,UNGP_FORESTS_RIVERS_OCEANS,9889617,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_840_JUSTICE,12081342,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,UNGP_FORESTS_RIVERS_OCEANS,17773925,,,,,,,,,,,,,,,,,,,,
ARMEDCONFLICT,UNGP_FORESTS_RIVERS_OCEANS,9911609,,,,,,,,,,,,,,,,,,,,
EPU_ECONOMY_HISTORIC,UNGP_FORESTS_RIVERS_OCEANS,12743820,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,UNGP_FORESTS_RIVERS_OCEANS,9669197,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,8350591,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_670_ICT_SECURITY,1506635,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLITICS_GENERAL1,11333711,,,,,,,,,,,,,,,,,,,,
SOC_GENERALCRIME,UNGP_FORESTS_RIVERS_OCEANS,5131843,,,,,,,,,,,,,,,,,,,,
TAX_FNCACT_PRESIDENT,UNGP_FORESTS_RIVERS_OCEANS,12762160,,,,,,,,,,,,,,,,,,,,
MEDIA_MSM,UNGP_FORESTS_RIVERS_OCEANS,14887390,,,,,,,,,,,,,,,,,,,,
EPU_POLICY_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,8591583,,,,,,,,,,,,,,,,,,,,
LEADER,UNGP_FORESTS_RIVERS_OCEANS,10029103,,,,,,,,,,,,,,,,,,,,
EPU_CATS_MIGRATION_FEAR_FEAR,UNGP_FORESTS_RIVERS_OCEANS,9341983,,,,,,,,,,,,,,,,,,,,
GENERAL_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,10504459,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_2433_CONFLICT_AND_VIOLENCE,11168446,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_678_DIGITAL_GOVERNMENT,13193815,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_1014_CRIMINAL_JUSTICE,9261680,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_831_GOVERNANCE,10405128,,,,,,,,,,,,,,,,,,,,
CYBER_ATTACK,TAX_FNCACT_HACKERS,156720,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,13193798,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_696_PUBLIC_SECTOR_MANAGEMENT,9133498,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLICY1,22084374,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_832_ANTI_CORRUPTION,9100895,,,,,,,,,,,,,,,,,,,,
UNGP_FORESTS_RIVERS_OCEANS,WB_694_BROADCAST_AND_MEDIA,10697523,,,,,,,,,,,,,,,,,,,,
KILL,UNGP_FORESTS_RIVERS_OCEANS,11216580,,,,,,,,,,,,,,,,,,,,
MANMADE_DISASTER_IMPLIED,UNGP_FORESTS_RIVERS_OCEANS,15655663,,,,,,,,,,,,,,,,,,,,
EDUCATION,UNGP_FORESTS_RIVERS_OCEANS,15666891,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,11456091,,,,,,,,,,,,,,,,,,,,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,19111933,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,10645599,,,,,,,,,,,,,,,,,,,,
ARMEDCONFLICT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,9471768,,,,,,,,,,,,,,,,,,,,
EPU_ECONOMY_HISTORIC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12067710,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,9119912,,,,,,,,,,,,,,,,,,,,
SECURITY_SERVICES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,14966374,,,,,,,,,,,,,,,,,,,,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_670_ICT_SECURITY,1248378,,,,,,,,,,,,,,,,,,,,
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,9849663,,,,,,,,,,,,,,,,,,,,
SOC_GENERALCRIME,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12087021,,,,,,,,,,,,,,,,,,,,
TAX_FNCACT_PRESIDENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,13370979,,,,,,,,,,,,,,,,,,,,
MEDIA_MSM,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,15350643,,,,,,,,,,,,,,,,,,,,
EPU_POLICY_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,14224207,,,,,,,,,,,,,,,,,,,,
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,8652019,,,,,,,,,,,,,,,,,,,,
EPU_CATS_MIGRATION_FEAR_FEAR,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,11888113,,,,,,,,,,,,,,,,,,,,
GENERAL_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,8914470,,,,,,,,,,,,,,,,,,,,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,10124758,,,,,,,,,,,,,,,,,,,,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,11574386,,,,,,,,,,,,,,,,,,,,
WB_1014_CRIMINAL_JUSTICE,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,10656605,,,,,,,,,,,,,,,,,,,,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_831_GOVERNANCE,11080603,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,TAX_FNCACT_HACKERS,144528,,,,,,,,,,,,,,,,,,,,
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12042661,,,,,,,,,,,,,,,,,,,,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,8819191,,,,,,,,,,,,,,,,,,,,
USPEC_POLICY1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,16431049,,,,,,,,,,,,,,,,,,,,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_832_ANTI_CORRUPTION,10062574,,,,,,,,,,,,,,,,,,,,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,9708303,,,,,,,,,,,,,,,,,,,,
KILL,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,16611483,,,,,,,,,,,,,,,,,,,,
MANMADE_DISASTER_IMPLIED,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,16335808,,,,,,,,,,,,,,,,,,,,
EDUCATION,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12014092,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_840_JUSTICE,12833612,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,LEGISLATION,13229006,,,,,,,,,,,,,,,,,,,,
ARMEDCONFLICT,LEGISLATION,6068249,,,,,,,,,,,,,,,,,,,,
EPU_ECONOMY_HISTORIC,LEGISLATION,8470226,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,LEGISLATION,16750152,,,,,,,,,,,,,,,,,,,,
LEGISLATION,SECURITY_SERVICES,9812566,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_670_ICT_SECURITY,1381191,,,,,,,,,,,,,,,,,,,,
LEGISLATION,USPEC_POLITICS_GENERAL1,10080750,,,,,,,,,,,,,,,,,,,,
LEGISLATION,SOC_GENERALCRIME,6480205,,,,,,,,,,,,,,,,,,,,
LEGISLATION,USPEC_POLITICS_GENERAL1,9276504,,,,,,,,,,,,,,,,,,,,
LEGISLATION,MEDIA_MSM,11646393,,,,,,,,,,,,,,,,,,,,
EPU_POLICY_GOVERNMENT,LEGISLATION,9274347,,,,,,,,,,,,,,,,,,,,
LEADER,LEGISLATION,10998139,,,,,,,,,,,,,,,,,,,,
EPU_CATS_MIGRATION_FEAR_FEAR,LEGISLATION,5392894,,,,,,,,,,,,,,,,,,,,
GENERAL_GOVERNMENT,LEGISLATION,13559555,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_2433_CONFLICT_AND_VIOLENCE,9550278,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_678_DIGITAL_GOVERNMENT,7963425,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_1014_CRIMINAL_JUSTICE,8659442,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_831_GOVERNANCE,8847499,,,,,,,,,,,,,,,,,,,,
LEGISLATION,TAX_FNCACT_HACKERS,141044,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,7963416,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,16814799,,,,,,,,,,,,,,,,,,,,
LEGISLATION,USPEC_POLICY1,15455017,,,,,,,,,,,,,,,,,,,,
